PlayerId,DraftSeason,CollegePosition,ProPosition,FirstName,LastName,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,Test,TestAttempt,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,BodyFat,LeanMass,IndyInvite
88847,2013,QB,QB,CAMERON,TOILOLO,76.5,229,25.1,4.96,33,9.375,76,26,39,1.72,2.81,7.17,29,9.04,4.55,NULL,NULL,20.3,182.613,Y
76132,2014,OLB,ILB,DAVID,GARY,73.88,232,23,4.9,32.75,9.875,77.625,28,35,1.75,2.9,7.26,29,9.01,4.56,11.9,14,NULL,NULL,N
93530,2013,QB,QB,TAVOY,STEWART,77.13,238,23.3,4.87,33,9.5,80,26,38,1.7,2.81,7.01,27,9,4.55,NULL,NULL,NULL,NULL,N
42239,2015,DT,DT,MICHAEL,MAYERS,74,299,22.4,5.32,32,9.25,77.25,23,38,1.87,2.96,7.8,27.5,8.08,4.76,NULL,27,NULL,NULL,N
37298,2012,DE,DE,MUSTAFA,HARVEY,76.75,244,23.5,4.63,34.875,10,83.375,11,22,1.69,2.81,7.29,27,9.01,4.6,11.96,21,NULL,NULL,N
43406,2012,OT,OG,JOSHUA,YOKLIC,75.88,303,23.3,5.13,33,9.125,78.375,26,36,1.88,2.92,7.57,28,9.02,4.64,NULL,15,NULL,NULL,N
92199,2013,TE,FB,PETER,NEWHALL,72.13,215,23.4,4.51,32.5,10.75,79.75,NULL,NULL,1.58,2.6,6.47,34.5,10.02,4.2,11.1,18,NULL,NULL,N
71189,2015,OC,OC,AHMAD,MONTGOMERY,74.75,301,23.4,5.13,32,9.5,75.25,27,46,1.75,2.88,7.65,34,8.11,4.53,NULL,NULL,NULL,NULL,N
21747,2014,OT,OT,BYRON,RICHT,75.88,310,23.1,5.28,34.875,9.5,88.375,20,28,1.77,2.97,7.85,30.5,8,4.81,NULL,28,NULL,NULL,N
86829,2013,DE,ILB,ARTHUR,JENSEN,73.88,240,21.9,4.81,32.625,9.625,78.25,23,34,1.67,2.8,7.2,32,9,4.44,11.9,19,NULL,NULL,N
84472,2013,OLB,ILB,PIERRE,ADCOCK,73.88,243,23.3,NULL,32.75,10.625,78.5,29,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,15.5,204.132,Y
47570,2014,DE,OLB,ZACHERY,LUCAS,77.75,252,24.2,4.6,33.5,10.25,81.625,19,34,1.63,2.66,7.29,36.5,10.03,4.44,NULL,17,10.8,223.781,Y
46797,2015,ILB,ILB,WAYNE,MOORE,71.38,231,21.9,4.92,31.5,10.25,78.125,20,40,1.66,2.79,7.04,33.5,9.03,4.41,11.85,22,NULL,NULL,N
32751,2012,QB,QB,DONALD,YOUNG,76.38,223,21.7,4.7,33,10.25,77.375,18,25,1.62,2.65,6.81,36.5,9.08,4.06,NULL,14,10.6,199.692,Y
45406,2012,OLB,ILB,RODERICK,HENDRIX,72,226,21.4,4.79,30,9.375,71.875,35,44,1.62,2.77,7.59,34.5,9.06,4.6,11.9,25,NULL,NULL,N
53012,2014,OT,OT,STEVE,JACKSON,79.13,331,22.3,5.05,34.625,10.5,84.875,15,22,1.8,2.91,8.15,24,7.11,4.77,NULL,23,18.2,271.849,Y
40954,2014,DT,DT,CHRISTOPHER,HENDERSON,74.25,299,23.1,5.01,33,10,77.375,30,37,1.76,2.92,7.56,31,8.09,4.8,NULL,33,NULL,NULL,N
